Localidade;Código IBGE;2001_per;2001_abs;2002_per;2002_abs;2003_per;2003_abs;2004_per;2004_abs;2005_per;2005_abs;2006_per;2006_abs;2007_per;2007_abs;2008_per;2008_abs;2009_per;2009_abs;2011_per;2011_abs;2012_per;2012_abs;2013_per;2013_abs;2014_per;2014_abs;2015_per;2015_abs;
São Paulo;35;6,0;1700284,0;5,9;1686520,0;5,4;1598337,0;5,5;1645726,0;5,4;1650460,0;5,0;1544389,0;4,6;1452982,0;4,7;1526929,0;4,7;1547060,0;3,7;1226339,0;3,8;1286797,0;3,7;1296121,0;3,8;1338144,0;3,5;1276857,0;
Paraná;41;8,7;608168,0;7,9;570894,0;7,8;573934,0;8,0;597501,0;7,1;538070,0;6,6;504883,0;6,6;514833,0;6,6;521689,0;6,7;542331,0;6,3;522918,0;5,3;442986,0;5,3;465052,0;5,0;435934,0;5,1;458672,0;
Santa Catarina;42;5,9;243897,0;5,5;227699,0;5,0;215218,0;4,8;211668,0;5,2;232180,0;5,1;233845,0;4,4;209125,0;4,4;213078,0;4,9;243366,0;3,9;198674,0;3,2;163096,0;3,5;188557,0;3,3;182907,0;3,5;197764,0;
Rio Grande do Sul;43;6,2;477027,0;6,3;489991,0;5,8;454515,0;5,5;437463,0;5,2;420476,0;5,2;424584,0;5,0;412126,0;5,0;414310,0;4,6;388479,0;4,3;365280,0;4,3;370752,0;4,4;398321,0;4,5;408294,0;3,5;324735,0;
Mato Grosso do Sul;50;10,3;156091,0;9,0;143266,0;9,6;157225,0;9,5;156542,0;9,1;153938,0;8,5;146259,0;8,3;148612,0;8,1;145746,0;8,7;159428,0;6,4;122592,0;7,0;139004,0;7,2;143168,0;6,5;130638,0;6,0;124161,0;
Mato Grosso;51;11,2;203741,0;10,2;189801,0;10,7;204228,0;10,1;200283,0;9,7;200073,0;9,2;193732,0;10,1;214362,0;9,6;214319,0;10,2;232243,0;7,4;176680,0;8,1;192514,0;7,8;193341,0;7,3;180355,0;7,1;178668,0;
Goiás;52;11,7;433030,0;11,3;434326,0;10,9;430164,0;10,7;434065,0;10,2;423637,0;9,6;410615,0;8,8;386391,0;9,3;414049,0;8,6;391486,0;7,2;343483,0;7,3;357362,0;7,1;355058,0;7,7;393020,0;6,1;316940,0;
Distrito Federal;53;5,5;85292,0;5,7;90498,0;4,5;74917,0;4,2;71520,0;4,7;82305,0;3,8;68431,0;3,7;70200,0;4,0;77198,0;3,4;68421,0;3,1;65094,0;3,5;72882,0;3,2;69714,0;2,7;60691,0;3,0;70110,0;
Belém;115;4,2;54490,0;4,7;61715,0;5,6;74931,0;5,0;69944,0;4,3;60887,0;4,0;58421,0;4,4;65023,0;4,2;62326,0;4,4;67858,0;3,2;53658,0;2,9;48820,0;3,4;57761,0;3,5;59787,0;3,2;56770,0;
Fortaleza;123;12,5;268440,0;11,4;255797,0;12,0;276956,0;11,6;276394,0;12,0;290474,0;11,2;277361,0;9,8;248954,0;10,2;268670,0;9,6;253814,0;9,2;263351,0;9,2;270117,0;8,7;259303,0;8,9;268299,0;8,7;264661,0;
Recife;126;11,0;272332,0;10,5;269083,0;11,4;296131,0;10,7;281343,0;9,6;256829,0;8,6;232908,0;8,7;241894,0;8,9;250061,0;8,2;235308,0;7,8;231057,0;8,1;242645,0;8,9;271499,0;6,7;206845,0;8,0;253261,0;
Salvador;129;6,7;153792,0;7,2;169384,0;7,1;168403,0;6,8;166079,0;6,1;149455,0;5,6;142149,0;5,3;138329,0;4,8;127948,0;5,4;144336,0;5,0;144115,0;4,6;133801,0;4,6;141523,0;4,0;126293,0;3,5;113216,0;
Belo Horizonte;131;5,7;188030,0;5,8;195943,0;5,9;201762,0;5,6;196180,0;5,3;188105,0;5,0;178557,0;4,7;171932,0;4,4;164685,0;4,7;178362,0;4,1;163201,0;3,7;147666,0;4,0;164758,0;3,6;149680,0;3,5;149792,0;
Rio de Janeiro;133;4,9;406079,0;4,2;361256,0;3,6;317154,0;4,2;365925,0;3,9;348285,0;3,4;309436,0;3,7;336171,0;3,6;332712,0;3,2;304571,0;2,9;283171,0;3,2;309964,0;3,2;316547,0;2,5;251597,0;2,3;233802,0;
São Paulo;135;5,2;708245,0;4,9;672151,0;4,6;650409,0;4,4;632760,0;4,6;665495,0;3,8;564254,0;3,8;565905,0;3,7;567700,0;4,2;648363,0;3,0;480743,0;3,0;483172,0;3,1;507531,0;3,2;542591,0;2,9;505386,0;
Curitiba;141;4,4;90742,0;4,3;91312,0;3,6;78146,0;4,2;93853,0;3,8;85779,0;3,4;77378,0;3,7;87525,0;3,0;70874,0;3,4;84442,0;4,1;105009,0;3,0;76837,0;2,9;77282,0;2,6;71833,0;3,0;84516,0;
Porto Alegre;143;4,2;117129,0;4,3;121985,0;3,7;107705,0;3,6;104774,0;3,5;101716,0;3,5;103263,0;3,5;105163,0;3,7;113528,0;3,0;93247,0;3,0;94823,0;2,7;85747,0;2,6;87001,0;2,7;92687,0;2,1;73081,0;
